name,image_url,count
1 of Clubs,decks/standard-52/1.png,1
1 of Spades,decks/standard-52/2.png,1
1 of Hearts,decks/standard-52/3.png,1
1 of Diamonds,decks/standard-52/4.png,1
13 of Clubs,decks/standard-52/5.png,1
13 of Spades,decks/standard-52/6.png,1
13 of Hearts,decks/standard-52/7.png,1
1 of Diamonds3,decks/standard-52/8.png,1
12 of Clubs,decks/standard-52/9.png,1
12 of Spades,decks/standard-52/10.png,1
12 of Hearts,decks/standard-52/11.png,1
1 of Diamonds2,decks/standard-52/12.png,1
11 of Clubs,decks/standard-52/13.png,1
11 of Spades,decks/standard-52/14.png,1
11 of Hearts,decks/standard-52/15.png,1
1 of Diamonds1,decks/standard-52/16.png,1
10 of Clubs,decks/standard-52/17.png,1
10 of Spades,decks/standard-52/18.png,1
10 of Hearts,decks/standard-52/19.png,1
1 of Diamonds0,decks/standard-52/20.png,1
9 of Clubs,decks/standard-52/21.png,1
9 of Spades,decks/standard-52/22.png,1
9 of Hearts,decks/standard-52/23.png,1
9 of Diamonds,decks/standard-52/24.png,1
8 of Clubs,decks/standard-52/25.png,1
8 of Spades,decks/standard-52/26.png,1
8 of Hearts,decks/standard-52/27.png,1
8 of Diamonds,decks/standard-52/28.png,1
7 of Clubs,decks/standard-52/29.png,1
7 of Spades,decks/standard-52/30.png,1
7 of Hearts,decks/standard-52/31.png,1
7 of Diamonds,decks/standard-52/32.png,1
6 of Clubs,decks/standard-52/33.png,1
6 of Spades,decks/standard-52/34.png,1
6 of Hearts,decks/standard-52/35.png,1
6 of Diamonds,decks/standard-52/36.png,1
5 of Clubs,decks/standard-52/37.png,1
5 of Spades,decks/standard-52/38.png,1
5 of Hearts,decks/standard-52/39.png,1
5 of Diamonds,decks/standard-52/40.png,1
4 of Clubs,decks/standard-52/41.png,1
4 of Spades,decks/standard-52/42.png,1
4 of Hearts,decks/standard-52/43.png,1
4 of Diamonds,decks/standard-52/44.png,1
3 of Clubs,decks/standard-52/45.png,1
3 of Spades,decks/standard-52/46.png,1
3 of Hearts,decks/standard-52/47.png,1
3 of Diamonds,decks/standard-52/48.png,1
2 of Clubs,decks/standard-52/49.png,1
2 of Spades,decks/standard-52/50.png,1
2 of Hearts,decks/standard-52/51.png,1
2 of Diamonds,decks/standard-52/52.png,1
Black Joker,decks/standard-52/53.png,1
Red Joker,decks/standard-52/54.png,1